State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Anantapur,"Mousambi(Sweet Lime)",Mousambi,Medium,31/10/2025,800,1500,1000
"Andhra Pradesh",Chittor,Palamaner,Cabbage,Cabbage,FAQ,31/10/2025,600,1000,800
"Andhra Pradesh",Chittor,Palamaner,Potato,"(Red Nanital)",FAQ,31/10/2025,2000,3000,2500
Bihar,Rohtas,Natwar,Potato,Jyoti,FAQ,31/10/2025,1500,1700,1600
Chattisgarh,Balodabazar,Kasdol,Paddy(Dhan)(Common),D.B.,Non-FAQ,31/10/2025,2000,2000,2000
Chattisgarh,Mungeli,Lormi,Paddy(Dhan)(Common),1001,FAQ,31/10/2025,1940,2000,2000
Gujarat,Amreli,Damnagar,"Bhindi(Ladies Finger)",Bhindi,FAQ,31/10/2025,1500,2550,2000
Gujarat,"Chhota Udaipur",Bodeliu,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,31/10/2025,6840,7001,6935
Gujarat,"Chhota Udaipur",Kalediya,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,31/10/2025,7000,7100,7050
Gujarat,"Gir Somnath",Talalagir,Brinjal,Other,FAQ,31/10/2025,2000,4500,3000
Gujarat,"Gir Somnath",Talalagir,Cabbage,Other,FAQ,31/10/2025,1000,2500,2000
Gujarat,Navsari,Navsari,Banana,Amruthapani,Medium,31/10/2025,1500,2000,1750
Gujarat,Navsari,Navsari,"Cluster beans","Cluster Beans",FAQ,31/10/2025,4000,5000,4500
Gujarat,Navsari,Navsari,Cowpea(Veg),"Cowpea (Veg)",FAQ,31/10/2025,3500,4000,3750
Gujarat,Navsari,Navsari,"Green Chilli","Green Chilly",FAQ,31/10/2025,2500,4000,3250
Gujarat,Navsari,Navsari,Lemon,Lemon,FAQ,31/10/2025,3000,3500,3250
Gujarat,Surat,Mahuva(Anaval),"Pointed gourd (Parval)",Other,FAQ,31/10/2025,2100,2250,2200
Gujarat,Surat,Songadh(Badarpada),Guar,Other,FAQ,31/10/2025,5500,6500,6000
Gujarat,Surat,Surat,"Banana - Green",Other,FAQ,31/10/2025,600,1500,1050
Gujarat,Surat,Surat,"Bhindi(Ladies Finger)",Other,FAQ,31/10/2025,3000,6500,4750
Gujarat,Surat,Surat,Cauliflower,Other,FAQ,31/10/2025,1000,5000,3000
